id,prenom,nom,sexe,sortante,circonscription,parti,dissidence,lien,twitter
7486,Cécile,Rilhac,femme,checked,095-03,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7485,Veronique,Rodas-Pawloff,femme,,095-03,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7484,Sarah,Nerozzi-Banfi,femme,,095-03,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7487,Carine,Pelegrin,femme,,095-03,Génération écologie,,https://twitter.com/CarinePELEGRIN/status/1522994653129330689,https://twitter.com/CarinePELEGRIN
8112,Max,Begon-Lours,homme,,095-03,RN,,https://rassemblementnational.fr/elections-legislatives/,
8113,Romana,Navarre,femme,,095-03,RN,,https://rassemblementnational.fr/elections-legislatives/,
7489,Karine,Lacouture,femme,,095-04,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/SmithBrVO17
7491,Naïma,Moutchou,femme,checked,095-04,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7488,Patrick,Boullé,homme,,095-04,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7490,Cindy,Tucci,femme,,095-04,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8114,Régis,Mace,homme,,095-04,RN,,https://rassemblementnational.fr/elections-legislatives/,
7492,Gilles,Savry,homme,,095-05,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
