id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance
5421,092-12,9,PREVEL,Guillaume,M.,ECO,Ecologistes
5422,092-12,10,BAKHTI,Hayat,Mme,ECO,Ecologistes
5423,092-12,11,BOURLANGES,Jean-Louis,M.,ENS,Ensemble ! (Majorité présidentielle)
5424,092-12,12,SAMIEZ,Florian,M.,DIV,Divers
5425,092-13,1,BENOIST,David,M.,ECO,Ecologistes
5426,092-13,2,MARTIN,Agathe,Mme,DXG,Divers extrême gauche
5427,092-13,3,BREGEON,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle)
5428,092-13,4,NASSIMI,Farid,M.,DIV,Divers
5429,092-13,5,ISNARD,Numa,M.,LR,Les Républicains
5430,092-13,6,GAUTRELET,Julien,M.,RDG,Parti radical de gauche
5431,092-13,7,LAURENT,Philippe,M.,UDI,Union des Démocrates et des Indépendants
5432,092-13,8,YVARS,Patrick,M.,RN,Rassemblement National
5433,092-13,9,GAILLARD,Brice,M.,SOC,Parti socialiste
5434,092-13,10,TOYANE,Alexis,M.,DIV,Divers
5435,092-13,11,SIMONIN,Thibault,M.,REC,Reconquête !
5436,093-01,1,AÏDARA DIABY,Madioula,Mme,DVG,Divers gauche
5437,093-01,2,ZEKRI,Fouzia,Mme,DVG,Divers gauche
5438,093-01,3,ABID,Mohamed-Jamil,M.,DVG,Divers gauche
5439,093-01,4,BAHLOUL,Maïa,Mme,DXG,Divers extrême gauche
5440,093-01,5,DROMARD,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle)
5441,093-01,6,ETIENNE,Etienna,Mme,UDI,Union des Démocrates et des Indépendants
5442,093-01,7,DARMON,Marianne,Mme,DVG,Divers gauche
5443,093-01,8,AUBRY,Alain,M.,DXG,Divers extrême gauche
5444,093-01,9,PÉGUILLET,François,M.,LR,Les Républicains
5445,093-01,10,HIRIGOYEN,Jérôme,M.,ECO,Ecologistes
5446,093-01,11,DEROCHE,Francois,M.,DVC,Divers centre
5447,093-01,12,EDE,Olga,Mme,DVC,Divers centre
5448,093-01,13,BUSCH,Anne-Solenne,Mme,REC,Reconquête !
5449,093-01,14,BRAND,Marie,Mme,RN,Rassemblement National
5450,093-01,15,COQUEREL,Eric,M.,FI,La France Insoumise
5451,093-02,1,THABET,Sinaa,Mme,LR,Les Républicains
5452,093-02,2,SOUKOUNA,Bakary,M.,DVG,Divers gauche
5453,093-02,3,CHIKHI,Brahim,M.,DVC,Divers centre
5454,093-02,4,PEU,Stéphane,M.,COM,Parti communiste français
5455,093-02,5,BROSSARD,Jean-Christophe,M.,DXG,Divers extrême gauche
5456,093-02,6,COLOMAS,Luc,M.,RN,Rassemblement National
5457,093-02,7,BROOD,Anaïs,Mme,ENS,Ensemble ! (Majorité présidentielle)
5458,093-02,8,RENAUD,Agnès,Mme,DXG,Divers extrême gauche
5459,093-02,9,PICHARD,Aurélien,M.,ECO,Ecologistes
5460,093-02,10,BARDY,Aurélia,Mme,REC,Reconquête !
5461,093-02,11,VÉTIL,Christelle,Mme,UDI,Union des Démocrates et des Indépendants
5462,093-03,1,CRETIN-GIELLY,Denis,M.,RN,Rassemblement National
5463,093-03,2,ZRIHEN,Joseph,M.,DVC,Divers centre
5464,093-03,3,ANATO,Patrice,M.,ENS,Ensemble ! (Majorité présidentielle)
5465,093-03,4,PORTES,Thomas,M.,FI,La France Insoumise
5466,093-03,5,POILLOT,Harald,M.,LR,Les Républicains
5467,093-03,6,BEN MAMI,Louise,Mme,ECO,Ecologistes
5468,093-03,7,TOURE,Maëlle Massandjie,Mme,DIV,Divers
5469,093-03,8,CHELKI,Fathia,Mme,DIV,Divers
5470,093-03,9,GAUCHERAND,Maëlle,Mme,DXG,Divers extrême gauche
5471,093-03,10,MELKA,Albert,M.,DVG,Divers gauche
5472,093-03,11,AMOUROUX,Nathalie,Mme,ECO,Ecologistes
5473,093-03,12,ENAUD,Geneviève,Mme,DXG,Divers extrême gauche
5474,093-03,13,BORDREUIL,Myriam,Mme,REC,Reconquête !
5475,093-03,14,CAMPANA,Sandrine,Mme,DSV,Droite souverainiste
5476,093-04,1,DIOUARA,Aly,M.,DIV,Divers
5477,093-04,2,LEY,Marlène,Mme,DXG,Divers extrême gauche
5478,093-04,3,TAÏBI,Azzédine,M.,DVG,Divers gauche
5479,093-04,4,BOUROUAHA,Soumya,Mme,COM,Parti communiste français
5480,093-04,5,SOURDILLAT,Stéphane,M.,ECO,Ecologistes
5481,093-04,6,DESBOEUF,Sabine,Mme,DXG,Divers extrême gauche
5482,093-04,7,LÉVÊQUE,Colette,Mme,RN,Rassemblement National
5483,093-04,8,ECH-CHETOUANI,Zouhairr,M.,DIV,Divers
5484,093-04,9,RINEL,Lova,Mme,ENS,Ensemble ! (Majorité présidentielle)
5485,093-04,10,PETTITT,Vanessa,Mme,REC,Reconquête !
5486,093-04,11,GOUREAU,Marie-Claude,Mme,LR,Les Républicains
5487,093-04,12,ATTIG,Sonia,Mme,DVG,Divers gauche
5488,093-05,1,LESTRADET,Nelly,Mme,RN,Rassemblement National
5489,093-05,2,CORBANI,Corinne,Mme,DXG,Divers extrême gauche
5490,093-05,3,DESBOIS,Geoffroy,M.,ECO,Ecologistes
5491,093-05,4,ROUECHE,Raynald,M.,DVC,Divers centre
5492,093-05,5,LIBERT,Raphaël,M.,REC,Reconquête !
5493,093-05,6,GARRIDO,Raquel,Mme,FI,La France Insoumise
5494,093-05,7,AIROUCHE,Sonia,Mme,REG,Régionaliste
5495,093-05,8,AIT AKKACHE,Nabil,M.,ENS,Ensemble ! (Majorité présidentielle)
5496,093-05,9,SAULIERE,Gilles,M.,ECO,Ecologistes
5497,093-05,10,HORMI,Amel,Mme,DVG,Divers gauche
5498,093-05,11,LAGARDE,Jean-Christophe,M.,UDI,Union des Démocrates et des Indépendants
5499,093-05,12,FEGER,Rodolphe,M.,DXG,Divers extrême gauche
5500,093-05,13,ARGOUSE,Nao,Mme,DIV,Divers
5501,093-06,1,SACKHO,Kourtoum,Mme,UDI,Union des Démocrates et des Indépendants
5502,093-06,2,TROVA,Françoise,Mme,RN,Rassemblement National
5503,093-06,3,ZEROUALI,Ali,M.,DIV,Divers
5504,093-06,4,ACHFAA,Soumia,Mme,RDG,Parti radical de gauche
5505,093-06,5,CHAMPION,Patrick,M.,DXG,Divers extrême gauche
5506,093-06,6,DJEBBARI,Nabila,Mme,DVG,Divers gauche
5507,093-06,7,ARTHAUD,Nathalie,Mme,DXG,Divers extrême gauche
5508,093-06,8,LACHAUD,Bastien,M.,FI,La France Insoumise
5509,093-06,9,BOURAK,Aïcha,Mme,DIV,Divers
5510,093-06,10,BAZIZ,Yasmina,Mme,ENS,Ensemble ! (Majorité présidentielle)
5511,093-06,11,BEUGRÉ,Noélie,Mme,REC,Reconquête !
5512,093-06,12,MABIALA,Aymane,M.,DIV,Divers
5513,093-07,1,CHAIR,Hamid,M.,RDG,Parti radical de gauche
5514,093-07,2,DEHAY,Catherine,Mme,ECO,Ecologistes
5515,093-07,3,BROSSIER,Marie-Laure,Mme,ENS,Ensemble ! (Majorité présidentielle)
5516,093-07,4,JOCHAUD,Aurélie,Mme,DXG,Divers extrême gauche
5517,093-07,5,MEHIDI,Myriam,Mme,REC,Reconquête !
5518,093-07,6,BOUCABEILLE,Madina,Mme,UDI,Union des Démocrates et des Indépendants
5519,093-07,7,KEISER,Christel,Mme,DXG,Divers extrême gauche
5520,093-07,8,MONTAGNON,Jeanne,Mme,ECO,Ecologistes
5521,093-07,9,YONIS,Choukri,Mme,SOC,Parti socialiste
5522,093-07,10,YAGOUBI-MOROCHO,Karim,M.,RN,Rassemblement National
5523,093-07,11,CORBIÈRE,Alexis,M.,FI,La France Insoumise
5524,093-08,1,TOBEILEM,Grégory,M.,DXG,Divers extrême gauche
5525,093-08,2,JOLIVET,Sébastien,M.,RN,Rassemblement National
5526,093-08,3,GUIRAUDOU,Hugo,M.,DVG,Divers gauche
5527,093-08,4,FOURNIER,Corinne,Mme,ECO,Ecologistes
5528,093-08,5,KELOUA HACHI,Fatiha,Mme,SOC,Parti socialiste
5529,093-08,6,VALENTE,Sylvio,M.,REC,Reconquête !
5530,093-08,7,CARVALHINHO,Geoffrey,M.,LR,Les Républicains
5531,093-08,8,ZEIGER,Franck,M.,DSV,Droite souverainiste
5532,093-08,9,CHARRIERE,Sylvie,Mme,ENS,Ensemble ! (Majorité présidentielle)
5533,093-08,10,FOURNIER,Jean-Christophe,M.,DXG,Divers extrême gauche
5534,093-08,11,CYRILLA,Eddy,M.,ECO,Ecologistes
5535,093-09,1,KOZELKO,Eric,M.,RN,Rassemblement National
5536,093-09,2,TROUVÉ,Aurélie,Mme,FI,La France Insoumise
5537,093-09,3,PIERRE,Robenson,M.,LR,Les Républicains
5538,093-09,4,SAADA,Alexandre,M.,ENS,Ensemble ! (Majorité présidentielle)
5539,093-09,5,GARRIGUE,Laure,Mme,REC,Reconquête !
5540,093-09,6,FITOUSSI,Carole,Mme,ECO,Ecologistes
5541,093-09,7,LEFEBVRE,Jean-Paul,M.,DVG,Divers gauche
5542,093-09,8,LANG-ROUSSEAU,Aloïs,M.,ECO,Ecologistes
5543,093-09,9,BADACHE,Atmane,M.,DIV,Divers
5544,093-09,10,PETRZLJAN,Héléna,Mme,UDI,Union des Démocrates et des Indépendants
5545,093-09,11,BUROT,Jean-Paul,M.,DXG,Divers extrême gauche
5546,093-09,12,ODOYER,Cécile,Mme,DXG,Divers extrême gauche
5547,093-10,1,GUY,Sylvie,Mme,DXG,Divers extrême gauche
5548,093-10,2,MALARD,Jean-Ludwig,M.,ECO,Ecologistes
5549,093-10,3,RAMADIER,Alain,M.,LR,Les Républicains
5550,093-10,4,ABDELLAOUI,Leïla,Mme,DVC,Divers centre
5551,093-10,5,HIMMI,Elhame,Mme,DIV,Divers
5552,093-10,6,BOUNOUA,Mohamed,M.,DVC,Divers centre
5553,093-10,7,SRAI,Abdelssamad,M.,DIV,Divers
5554,093-10,8,BAKHTI-ALOUT,Sonia,Mme,ENS,Ensemble ! (Majorité présidentielle)
5555,093-10,9,ABOMANGOLI,Nadège,Mme,FI,La France Insoumise
5556,093-10,10,MINARDI,Gaëtan,M.,DXG,Divers extrême gauche
5557,093-10,11,LOUBOTA,Praince Germain,M.,REC,Reconquête !
5558,093-10,12,CHATEAU,Pauline,Mme,RN,Rassemblement National
5559,093-11,1,KHUL,Ton Tona,M.,DVD,Divers droite
5560,093-11,2,MERETREL,François,M.,DIV,Divers
5561,093-11,3,AÏT MESGHAT,Lynda,Mme,UDI,Union des Démocrates et des Indépendants
5562,093-11,4,LEVERRIER,Jean-Pierre,M.,ECO,Ecologistes
5563,093-11,5,COUFFIN-GUÉRIN,Isabelle,Mme,DXG,Divers extrême gauche
5564,093-11,6,NAUD,Emmanuel,M.,LR,Les Républicains
5565,093-11,7,AUTAIN,Clémentine,Mme,FI,La France Insoumise
5566,093-11,8,GUILLEMETTE,Micheline,Mme,DXG,Divers extrême gauche
5567,093-11,9,OUARET,Hakima,Mme,ENS,Ensemble ! (Majorité présidentielle)
5568,093-11,10,JOLY,Renée,Mme,RN,Rassemblement National
5569,093-11,11,DE CARVALHO,Virginie,Mme,COM,Parti communiste français
5570,093-11,12,SCAGNI,Fabrice,M.,DVC,Divers centre
5571,093-11,13,DUSAUSOY,Guillemette,Mme,REC,Reconquête !
5572,093-12,1,HOUHA,Malik,M.,ECO,Ecologistes
5573,093-12,2,CICERO,Sophie,Mme,DXG,Divers extrême gauche
5574,093-12,3,CISSE,Mariam,Mme,REG,Régionaliste
5575,093-12,4,TORO,Ludovic,M.,UDI,Union des Démocrates et des Indépendants
5576,093-12,5,CESUR,Bahri,M.,DIV,Divers
5577,093-12,6,SALLE,Pierre Marie,M.,REC,Reconquête !
5578,093-12,7,PERIER,Jean-François,M.,RN,Rassemblement National
5579,093-12,8,AISSAOUI,Amal,Mme,DXG,Divers extrême gauche
5580,093-12,9,LEGAVRE,Jérôme,M.,FI,La France Insoumise
5581,093-12,10,KLEBEK,Stéphanie,Mme,DVG,Divers gauche
5582,093-12,11,TESTÉ,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle)
5583,093-12,12,VOILLEMIN,Arnold,M.,DSV,Droite souverainiste
5584,094-01,1,ROBIN,Pierre,M.,ECO,Ecologistes
5585,094-01,2,DESCROZAILLE,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle)
5586,094-01,3,BRATULESCU,Mirela,Mme,REC,Reconquête !
5587,094-01,4,GUINTRAND,Thierry,M.,FI,La France Insoumise
5588,094-01,5,PATEL,Almash,Mme,DXG,Divers extrême gauche
5589,094-01,6,LAUZET,Pierre-Louis,M.,DVG,Divers gauche
5590,094-01,7,BOUATLAOUI,Amina,Mme,ECO,Ecologistes
5591,094-01,8,JOLLY,Laurent,M.,RN,Rassemblement National
5592,094-01,9,LE PARC,Françoise,Mme,COM,Parti communiste français
5593,094-01,10,ROESCH,Germain,M.,LR,Les Républicains
5594,094-01,11,TELLE,Géraldine,Mme,DIV,Divers
5595,094-02,1,GUETTÉ,Clémence,Mme,FI,La France Insoumise
5596,094-02,2,TORRES,Josefa,Mme,DXG,Divers extrême gauche
5597,094-02,3,ROUSSEL,Françoise,Mme,DXG,Divers extrême gauche
5598,094-02,4,LAVAL,Eloïse,Mme,REC,Reconquête !
5599,094-02,5,DERANSART,Elsa,Mme,DVG,Divers gauche
5600,094-02,6,SUIN,Céline,Mme,ECO,Ecologistes
5601,094-02,7,AMARA,Salika,Mme,DIV,Divers
5602,094-02,8,GHAYE,Antoine,M.,RN,Rassemblement National
5603,094-02,9,DRUART,Frédéric,M.,LR,Les Républicains
5604,094-02,10,LARDEUX,Coline,Mme,RDG,Parti radical de gauche
5605,094-02,11,MBAYE,Jean François,M.,ENS,Ensemble ! (Majorité présidentielle)
5606,094-02,12,BOURIACHI,Taieb,M.,DIV,Divers
5607,094-03,1,ABRIBAT,Jean-Baptiste,M.,REC,Reconquête !
5608,094-03,2,BRY-CHEVALIER,Tom,M.,ECO,Ecologistes
5609,094-03,3,POIRET,Guillaume,M.,DXG,Divers extrême gauche
5610,094-03,4,BOYARD,Louis,M.,FI,La France Insoumise
5611,094-03,5,ORKIDEZ,Blueez,M.,FI,La France Insoumise
5612,094-03,6,NOAILE,Lucien,M.,DXG,Divers extrême gauche
5613,094-03,7,HAMZAOUI,Naoual,Mme,DVD,Divers droite
5614,094-03,8,SAINT-MARTIN,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle)
5615,094-03,9,BAPTISTE,Marie-Françoise,Mme,DSV,Droite souverainiste
5616,094-03,10,MARQUES,Catherine,Mme,DIV,Divers
5617,094-03,11,GONZALES,Didier,M.,LR,Les Républicains
5618,094-03,12,YON,André,M.,DXG,Divers extrême gauche
5619,094-03,13,PRETOT,Francis,M.,RN,Rassemblement National
5620,094-04,1,PETIT,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle)
5621,094-04,2,LEMAIRE,Mirabelle,Mme,FI,La France Insoumise
5622,094-04,3,PHILIPPET,Alain,M.,RN,Rassemblement National
5623,094-04,4,VICENT,Denis,M.,COM,Parti communiste français
5624,094-04,5,CIUNTU,Marie-Carole,Mme,LR,Les Républicains
5625,094-04,6,SCOTTO,Gerard,M.,DSV,Droite souverainiste
5626,094-04,7,YVOS,Isabelle,Mme,ECO,Ecologistes
5627,094-04,8,MERLIN,Véronique,Mme,REC,Reconquête !
5628,094-04,9,MOULIN,Brigitte,Mme,DXG,Divers extrême gauche
5629,094-04,10,PERRU,Marie-Odile,Mme,DVC,Divers centre
5630,094-05,1,DUBOUCHER,Frédéric,M.,ECO,Ecologistes
5631,094-05,2,VEYSSIÈRE,Stéphanie,Mme,REC,Reconquête !
5632,094-05,3,THENIN,Matthieu,M.,DIV,Divers
5633,094-05,4,REUTHER,Guillaume,M.,DSV,Droite souverainiste
5634,094-05,5,JOSLIN,François,M.,DXG,Divers extrême gauche
5635,094-05,6,HENRY,Maxime,M.,DIV,Divers
5636,094-05,7,CHICHE,Bruno,M.,DXG,Divers extrême gauche
5637,094-05,8,BAZIN,Paul,M.,LR,Les Républicains
5638,094-05,9,MAHAUD,Alain,M.,COM,Parti communiste français
5639,094-05,10,LEFEVRE,Mathieu,M.,ENS,Ensemble ! (Majorité présidentielle)
5640,094-05,11,LEGER,Julien,M.,COM,Parti communiste français
5641,094-05,12,HUGUENIN-RICHARD,Isabelle,Mme,RN,Rassemblement National
5642,094-06,1,MASSOT,François,M.,REG,Régionaliste
5643,094-06,2,GOUFFIER-CHA,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle)
5644,094-06,3,HERZOG,Alexandre,M.,DXG,Divers extrême gauche
5645,094-06,4,HUNAUT,Véronique,Mme,DXG,Divers extrême gauche
5646,094-06,5,WYPOREK,Aniela,Mme,ECO,Ecologistes
5647,094-06,6,WILLARD,Benoit,M.,REG,Régionaliste
5648,094-06,7,BOUHADA,May,Mme,ECO,Ecologistes
5649,094-06,8,GILLET,Fabrice,M.,COM,Parti communiste français
5650,094-06,9,CHAPUT,Catherine,Mme,RN,Rassemblement National
5651,094-06,10,ALONSO,Luc,M.,RDG,Parti radical de gauche
5652,094-06,11,CORNET,Xavier,M.,ECO,Ecologistes
5653,094-06,12,BOURG,Jothi,Mme,DIV,Divers
5654,094-06,13,TAIEB,Charles,M.,REC,Reconquête !
5655,094-06,14,FRIEH,Huguette,Mme,UDI,Union des Démocrates et des Indépendants
5656,094-06,15,RENAULT,Tony,M.,ECO,Ecologistes
5657,094-07,1,NADAL,Noël,M.,REC,Reconquête !
5658,094-07,2,KEKE,Rachel,Mme,FI,La France Insoumise
5659,094-07,3,MAURY,Claire,Mme,DXG,Divers extrême gauche
5660,094-07,4,DEBBACHE,Gaëlle,Mme,REG,Régionaliste
5661,094-07,5,CORBIN,Pascale,Mme,ECO,Ecologistes
5662,094-07,6,IANNUZZI,Ugo,M.,RN,Rassemblement National
5663,094-07,7,JEANBRUN,Vincent,M.,LR,Les Républicains
5664,094-07,8,MARACINEANU,Roxana,Mme,ENS,Ensemble ! (Majorité présidentielle)
5665,094-07,9,LEMAANNI,El-Mehdi,M.,DIV,Divers
5666,094-08,1,PAGÈS,Erik,M.,ECO,Ecologistes
5667,094-08,2,CHALENDAR,Franck,M.,DSV,Droite souverainiste
5668,094-08,3,CHEYNS,Amandine,Mme,DXG,Divers extrême gauche
5669,094-08,4,LAMIMI,Zohra,Mme,COM,Parti communiste français
5670,094-08,5,MOURLIN,Mickaël,M.,DXG,Divers extrême gauche
5671,094-08,6,HUGON,Stéphanie,Mme,DVG,Divers gauche
5672,094-08,7,BUCLIN,Olivier,M.,REC,Reconquête !
5673,094-08,8,VUILLARD,Elisabeth,Mme,RN,Rassemblement National
5674,094-08,9,SCOTTO,Alexandra,Mme,ECO,Ecologistes
5675,094-08,10,HERBILLON,Michel,M.,LR,Les Républicains
5676,094-08,11,WARGON,Emmanuelle,Mme,ENS,Ensemble ! (Majorité présidentielle)
5677,094-09,1,BENOUADAH,Simone,Mme,REC,Reconquête !
5678,094-09,2,NDONGALA,Lufian,M.,DIV,Divers
5679,094-09,3,SANTIAGO,Isabelle,Mme,SOC,Parti socialiste
5680,094-09,4,JAUBERT,Christophe,M.,ECO,Ecologistes
5681,094-09,5,RUCHOT,Sandrine,Mme,DXG,Divers extrême gauche
5682,094-09,6,MAHMOUDI,Monia,Mme,DIV,Divers
5683,094-09,7,BENBETKA,Abdallah,M.,COM,Parti communiste français
5684,094-09,8,CUI,Wenqi,Mme,RN,Rassemblement National
5685,094-09,9,GARY,Ethan,M.,DSV,Droite souverainiste
5686,094-09,10,BONHOMME-AFFLATET,Michèle,Mme,LR,Les Républicains
5687,094-09,11,OLLIVIER,Emmanuel,M.,ECO,Ecologistes
5688,094-09,12,DUCANDAS,Véronique,Mme,DXG,Divers extrême gauche
5689,094-09,13,ROSENBLUM,Jonathan,M.,ENS,Ensemble ! (Majorité présidentielle)
5690,094-10,1,CHAPPELLIER,Bernard,M.,ECO,Ecologistes
5691,094-10,2,JOUBERT,Alex,M.,UDI,Union des Démocrates et des Indépendants
5692,094-10,3,HARDOUIN,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
5693,094-10,4,LADIAN-FASSI,Laurine,Mme,REC,Reconquête !
5694,094-10,5,LIN,Elise,Mme,RN,Rassemblement National
5695,094-10,6,COURANT,César,M.,ECO,Ecologistes
5696,094-10,7,PANOT,Mathilde,Mme,FI,La France Insoumise
5697,094-10,8,LICHTENAUER,Christine,Mme,DXG,Divers extrême gauche
5698,094-11,1,AIT OUALI,Zahra,Mme,REG,Régionaliste
5699,094-11,2,MILAMON,Sarah,Mme,REC,Reconquête !
5700,094-11,3,TAILLÉ-POLIAN,Sophie,Mme,ECO,Ecologistes
5701,094-11,4,BOUNEGTA,Mahrouf,M.,LR,Les Républicains
5702,094-11,5,MWANA-KUSU,Namunayao Kahambwe Ziada,Mme,DIV,Divers
5703,094-11,6,GUANAES NETTO,Pedro,M.,DSV,Droite souverainiste
5704,094-11,7,COUTHURES,Jean,M.,DVG,Divers gauche
5705,094-11,8,GABELICA,Martina,Mme,RN,Rassemblement National
5706,094-11,9,ROSAZ,Jocelyn-Pierre,M.,ECO,Ecologistes
5707,094-11,10,ROCHETEAU,Maryvonne,Mme,DVG,Divers gauche
5708,094-11,11,LAVILLETTE,Dany-Laure,Mme,DVC,Divers centre
5709,094-11,12,FLORENCE,Nicole,Mme,DXG,Divers extrême gauche
5710,094-11,13,MAZURIER,Christine,Mme,DXG,Divers extrême gauche
5711,094-11,14,CALVEZ,Erwann,M.,ENS,Ensemble ! (Majorité présidentielle)
5712,095-01,1,SAVIGNAT,Antoine,M.,LR,Les Républicains
5713,095-01,2,BARBIER,Sandrine,Mme,ECO,Ecologistes
5714,095-01,3,GÉHAN,Barbara,Mme,DXG,Divers extrême gauche
5715,095-01,4,ATTAGNANT,Erwan,M.,REC,Reconquête !
5716,095-01,5,CHANDLER,Emilie,Mme,ENS,Ensemble ! (Majorité présidentielle)
5717,095-01,6,PIERRE,Philippe,M.,RN,Rassemblement National
5718,095-01,7,LESSAINT,Lionel,M.,DSV,Droite souverainiste
5719,095-01,8,IVORRA,Leïla,Mme,FI,La France Insoumise
5720,095-01,9,LAPEYRE,Albert,M.,ECO,Ecologistes
5721,095-02,1,BRULARD,Jean-Luc,M.,DXG,Divers extrême gauche
5722,095-02,2,OUBAIROUK,Brahim,M.,ECO,Ecologistes
5723,095-02,3,CHIKHANE,Lydie,Mme,DSV,Droite souverainiste
5724,095-02,4,PAIN,Frédéric,M.,LR,Les Républicains
5725,095-02,5,NICOLLE,Jérôme,M.,DIV,Divers
5726,095-02,6,GEOFFROY-MARTIN,Sylvie,Mme,FI,La France Insoumise
5727,095-02,7,DOMBROWSKI,Mireille,Mme,DXG,Divers extrême gauche
5728,095-02,8,CASSAN,Éric,M.,DXG,Divers extrême gauche
5729,095-02,9,REMY,Nadejda,Mme,RN,Rassemblement National
5730,095-02,10,CAVAIGNAC,Jeson,M.,DIV,Divers
5731,095-02,11,DRARI,Abdelmadjid,M.,DIV,Divers
5732,095-02,12,VUILLETET,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle)
5733,095-02,13,CHANZY,Philippe,M.,REC,Reconquête !
5734,095-02,14,BONUCCI,Laura,Mme,DXG,Divers extrême gauche
5735,095-02,15,FRAPPA,Morgane,Mme,ECO,Ecologistes
5736,095-03,1,GÉRARD,Pascal,M.,REC,Reconquête !
5737,095-03,2,DAVID,Fabrice,M.,ECO,Ecologistes
5738,095-03,3,PECQUET,Eric,M.,DSV,Droite souverainiste
5739,095-03,4,PELEGRIN,Carine,Mme,ECO,Ecologistes
5740,095-03,5,RODAS-PAWLOFF,Véronique,Mme,ECO,Ecologistes
5741,095-03,6,MUNOZ,Juan,M.,DXG,Divers extrême gauche
5742,095-03,7,LAURINI,Romana,Mme,RN,Rassemblement National
5743,095-03,8,RILHAC,Cécile,Mme,ENS,Ensemble ! (Majorité présidentielle)
5744,095-03,9,NEROZZI-BANFI,Sarah,Mme,LR,Les Républicains
5745,095-04,1,GEORJON,Fréderic,M.,REC,Reconquête !
5746,095-04,2,LACOUTURE,Karine,Mme,FI,La France Insoumise
5747,095-04,3,MOUTCHOU,Naïma,Mme,ENS,Ensemble ! (Majorité présidentielle)
5748,095-04,4,BERTHAULT,Grégory,M.,ECO,Ecologistes
5749,095-04,5,BOULLÉ,Patrick,M.,LR,Les Républicains
5750,095-04,6,MACÉ,Régis,M.,RN,Rassemblement National
5751,095-04,7,TUCCI,Cindy,Mme,ECO,Ecologistes
5752,095-04,8,L'HOMMEDET,Marie-Françoise,Mme,DXG,Divers extrême gauche
5753,095-04,9,POUPARD,Alain,M.,DXG,Divers extrême gauche
5754,095-05,1,HAROUCH,Schemsdine,M.,DIV,Divers
5755,095-05,2,LAZAAR,Fiona,Mme,ENS,Ensemble ! (Majorité présidentielle)
5756,095-05,3,HENRY,Stéphanie,Mme,DXD,Divers extrême droite
5757,095-05,4,KOUYATE,Dienabou,Mme,DVG,Divers gauche
5758,095-05,5,VANNIER,Paul,M.,FI,La France Insoumise
5759,095-05,6,LALLAOUI,Mehdi,M.,REG,Régionaliste
5760,095-05,7,ARBAOUI,Rémy,M.,DIV,Divers
5761,095-05,8,MARIETTE,Dominique,M.,DXG,Divers extrême gauche
5762,095-05,9,DAUMAS,Fabienne,Mme,RN,Rassemblement National
5763,095-05,10,SAPIN,Mathilde,Mme,ECO,Ecologistes
5764,095-05,11,SAVRY,Gilles,M.,LR,Les Républicains
5765,095-05,12,TRAORE,Cheickna,M.,DVG,Divers gauche
5766,095-06,1,FERDEL,Anaïs,Mme,REC,Reconquête !
5767,095-06,2,LASSOUED,Samir,M.,SOC,Parti socialiste
5768,095-06,3,BRUNA,Annika,Mme,RN,Rassemblement National
5769,095-06,4,CATHALA,Gabrielle,Mme,FI,La France Insoumise
5770,095-06,5,REINMANN,Agnès,Mme,DXG,Divers extrême gauche
5771,095-06,6,DEMARQUEZ,Philippe,M.,ECO,Ecologistes
5772,095-06,7,FLAMENT,Nicolas,M.,LR,Les Républicains
5773,095-06,8,ELIMAS,Nathalie,Mme,DVC,Divers centre
5774,095-06,9,FOLEST,Estelle,Mme,ENS,Ensemble ! (Majorité présidentielle)
5775,095-07,1,TOPUZOVIC,Andrijana,Mme,LR,Les Républicains
5776,095-07,2,DEMARET,Philippe,M.,DVG,Divers gauche
5777,095-07,3,LE GUEVEL,Olivier,M.,REC,Reconquête !
5778,095-07,4,ESKENAZI,Romain,M.,SOC,Parti socialiste
5779,095-07,5,DA SILVA,Dominique,M.,ENS,Ensemble ! (Majorité présidentielle)
5780,095-07,6,CHIKHANE,Myriam,Mme,DSV,Droite souverainiste
5781,095-07,7,ZOUINE,Kamel,M.,ECO,Ecologistes
5782,095-07,8,SACERDOT,François,M.,ECO,Ecologistes
5783,095-07,9,MARCEL,Bruno,M.,RN,Rassemblement National
5784,095-07,10,COUDERT,Noel,M.,DXG,Divers extrême gauche
5785,095-07,11,SUAREZ,Valérie,Mme,DXG,Divers extrême gauche
5786,095-08,1,AMANI,Zaki,M.,DIV,Divers
5787,095-08,2,MÉRIENNE,Véronique,Mme,RN,Rassemblement National
5788,095-08,3,GAUTHERIN,Muriel,Mme,REC,Reconquête !
5789,095-08,4,GAJDOS,Rémi,M.,DXG,Divers extrême gauche
5790,095-08,5,CAMARA,Haissata,Mme,DVG,Divers gauche
5791,095-08,6,BILONGO,Carlos Martens,M.,FI,La France Insoumise
5792,095-08,7,RAJA,Shaïstah,Mme,DVG,Divers gauche
5793,095-08,8,PRUDHOMME,Marina,Mme,ECO,Ecologistes
