dep,nom_dep,code_circo,00,prenom,nom,sexe,code_nuance,nuance,id,prenom,nom,sexe,sortante,circonscription,parti,checked,lien,twitter,
003,Allier,003-02,05,Jean-Marie,GUILLAUMIN,homme,ECO,Ecologistes,,,,,,,,,,,
003,Allier,003-02,06,Bernard,LEBEL,homme,DXG,Divers extrême gauche,8449,Bernard,Lebel,homme,,003-02,LO,,https://www.lutte-ouvriere.org/legislatives,,
003,Allier,003-02,07,Philippe,CHATEL,homme,REG,Régionaliste,,,,,,,,,,,
003,Allier,003-02,08,Marie-Claude,LÉGUILLON,femme,RDG,Parti radical de gauche,,,,,,,,,,,
003,Allier,003-02,09,Jorys,BOVET,homme,RN,Rassemblement National,7638,Jorys,Bovet,homme,,003-02,RN,,https://rassemblementnational.fr/elections-legislatives/,,
003,Allier,003-02,10,Luc,THOMAS,homme,REG,Régionaliste,9386,Luc,Thomas,homme,,003-02,Parti pirate,,https://partipirate.org/map,,
003,Allier,003-02,11,Laurence,VANCEUNEBROCK,femme,ENS,Ensemble ! (Majorité présidentielle),5679,Laurence,Vanceunebrock,femme,checked,003-02,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,,
003,Allier,003-02,12,Bernard,POZZOLI,homme,DVG,Divers gauche,,,,,,,,,,,
003,Allier,003-02,13,Louise,HERITIER,femme,FI,La France Insoumise,5680,Louise,Heritier,femme,,003-02,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/heritier_louise,
003,Allier,003-03,01,Jean-Francois,RAMEAU,homme,DXG,Divers extrême gauche,8450,Jean-François,Rameau,homme,,003-03,LO,,https://www.lutte-ouvriere.org/legislatives,,
003,Allier,003-03,02,Paul,DUCHÉ,homme,ECO,Ecologistes,,,,,,,,,,,
003,Allier,003-03,03,Nicolas,RAY,homme,LR,Les Républicains,,,,,,,,,,,
003,Allier,003-03,04,Yves-Marie,PENDELIAU,homme,DIV,Divers,,,,,,,,,,,
003,Allier,003-03,05,Isabelle,RÉCHARD,femme,RDG,Parti radical de gauche,,,,,,,,,,,
003,Allier,003-03,06,Bénédicte,PEYROL,femme,ENS,Ensemble ! (Majorité présidentielle),5681,Bénédicte,Peyrol,femme,checked,003-03,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,,
003,Allier,003-03,07,Elsa,DENFERD,femme,SOC,Parti socialiste,5682,Elsa,Denferd,femme,,003-03,PS,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/vague1_investitures_ps_nupes-896b6d8e81644c90819c172aea1049b5.pdf,https://twitter.com/elsadenferd,
003,Allier,003-03,08,Quentin,JULIEN,homme,RN,Rassemblement National,7639,Quentin,Julien,homme,,003-03,RN,,https://rassemblementnational.fr/elections-legislatives/,,
